CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site
"Salt Lake City, UT",41620,01/01/2000,159,Unhealthy,PM2.5,49-035-0003
"Salt Lake City, UT",41620,02/01/2000,64,Moderate,PM2.5,49-035-3006
"Salt Lake City, UT",41620,03/01/2000,47,Good,NO2,49-035-3006
"Salt Lake City, UT",41620,04/01/2000,56,Moderate,PM2.5,49-035-3006
"Salt Lake City, UT",41620,05/01/2000,46,Good,NO2,49-035-3006
"Salt Lake City, UT",41620,06/01/2000,55,Moderate,PM2.5,49-035-3006
"Salt Lake City, UT",41620,07/01/2000,89,Moderate,PM2.5,49-035-0012
"Salt Lake City, UT",41620,08/01/2000,70,Moderate,PM2.5,49-035-3006
"Salt Lake City, UT",41620,09/01/2000,43,Good,NO2,49-035-3006
"Salt Lake City, UT",41620,10/01/2000,45,Good,NO2,49-035-3006
"Salt Lake City, UT",41620,11/01/2000,64,Moderate,PM10,49-035-0012
"Salt Lake City, UT",41620,12/01/2000,44,Good,NO2,49-035-3006
"Salt Lake City, UT",41620,13/01/2000,73,Moderate,PM2.5,49-035-0012
"Salt Lake City, UT",41620,14/01/2000,60,Moderate,PM2.5,49-035-3006
"Salt Lake City, UT",41620,15/01/2000,65,Moderate,NO2,49-035-3006
"Salt Lake City, UT",41620,16/01/2000,32,Good,NO2,49-035-3006
"Salt Lake City, UT",41620,17/01/2000,56,Moderate,PM2.5,49-035-3006
"Salt Lake City, UT",41620,18/01/2000,54,Moderate,PM2.5,49-035-3006
"Salt Lake City, UT",41620,19/01/2000,53,Moderate,PM2.5,49-035-3007
"Salt Lake City, UT",41620,20/01/2000,59,Moderate,PM2.5,49-035-3006
"Salt Lake City, UT",41620,21/01/2000,52,Moderate,PM2.5,49-035-3006
"Salt Lake City, UT",41620,22/01/2000,55,Moderate,PM2.5,49-035-3007
"Salt Lake City, UT",41620,23/01/2000,51,Moderate,PM2.5,49-035-3006
"Salt Lake City, UT",41620,24/01/2000,85,Moderate,PM2.5,49-035-3006
"Salt Lake City, UT",41620,25/01/2000,69,Moderate,PM2.5,49-035-3006
"Salt Lake City, UT",41620,26/01/2000,43,Good,PM2.5,49-035-3006
"Salt Lake City, UT",41620,27/01/2000,65,Moderate,SO2,49-035-0012
"Salt Lake City, UT",41620,28/01/2000,54,Moderate,PM2.5,49-035-0003
"Salt Lake City, UT",41620,29/01/2000,54,Moderate,PM10,49-035-0012
"Salt Lake City, UT",41620,30/01/2000,62,Moderate,PM2.5,49-035-3006
"Salt Lake City, UT",41620,31/01/2000,79,Moderate,PM2.5,49-035-3007
"Salt Lake City, UT",41620,01/02/2000,67,Moderate,PM2.5,49-035-3006
"Salt Lake City, UT",41620,02/02/2000,95,Moderate,PM2.5,49-035-3006
"Salt Lake City, UT",41620,03/02/2000,152,Unhealthy,PM2.5,49-035-0012
"Salt Lake City, UT",41620,04/02/2000,54,Moderate,PM10,49-035-0012
"Salt Lake City, UT",41620,05/02/2000,73,Moderate,PM2.5,49-035-3006
"Salt Lake City, UT",41620,06/02/2000,109,Unhealthy for Sensitive Groups,PM2.5,49-035-0012
"Salt Lake City, UT",41620,07/02/2000,72,Moderate,PM10,49-035-0012
"Salt Lake City, UT",41620,08/02/2000,81,Moderate,PM2.5,49-035-3006
"Salt Lake City, UT",41620,09/02/2000,85,Moderate,PM2.5,49-035-3007
"Salt Lake City, UT",41620,10/02/2000,49,Good,PM10,49-035-0012
"Salt Lake City, UT",41620,11/02/2000,38,Good,NO2,49-035-3006
"Salt Lake City, UT",41620,12/02/2000,43,Good,NO2,49-035-3006
