DATE,PRCP,TMAX K,TMAX C
01/01/2000,0.5,273,0
02/01/2000,7.9,271.9,-1.1
03/01/2000,2.5,271.9,-1.1
04/01/2000,5.6,275.2,2.2
05/01/2000,0.5,274.1,1.1
06/01/2000,0,273,0
07/01/2000,0.3,272.4,-0.6
08/01/2000,0,275.2,2.2
09/01/2000,0,278.6,5.6
10/01/2000,7.6,278.6,5.6
11/01/2000,1.5,286.3,13.3
12/01/2000,0,279.1,6.1
13/01/2000,0,284.7,11.7
14/01/2000,0,284.1,11.1
15/01/2000,0,286.9,13.9
16/01/2000,0,288,15
17/01/2000,0,285.2,12.2
18/01/2000,5.1,286.3,13.3
19/01/2000,0,285.2,12.2
20/01/2000,0,284.1,11.1
21/01/2000,6.4,281.9,8.9
22/01/2000,1,277.4,4.4
23/01/2000,0,278.6,5.6
24/01/2000,0,280.8,7.8
25/01/2000,7.9,278.6,5.6
26/01/2000,1.3,280.2,7.2
27/01/2000,0,275.2,2.2
28/01/2000,0,274.1,1.1
29/01/2000,0,276.3,3.3
30/01/2000,0,278.6,5.6
31/01/2000,7.1,273,0
01/02/2000,0,276.3,3.3
02/02/2000,0,278,5
03/02/2000,0,277.4,4.4
04/02/2000,0,282.4,9.4
05/02/2000,0,282.4,9.4
06/02/2000,0,283,10
07/02/2000,0,286.3,13.3
08/02/2000,0,284.1,11.1
09/02/2000,0,285.2,12.2
10/02/2000,0.3,284.1,11.1
11/02/2000,9.4,283.6,10.6
12/02/2000,6.1,280.8,7.8
13/02/2000,0,279.7,6.7
14/02/2000,3.6,286.9,13.9
15/02/2000,0,281.3,8.3
16/02/2000,0.5,279.7,6.7
17/02/2000,8.1,278,5
18/02/2000,0.5,278.6,5.6
19/02/2000,0,281.9,8.9
20/02/2000,0,285.8,12.8
21/02/2000,6.9,290.2,17.2
22/02/2000,0.3,283.6,10.6
23/02/2000,0,283,10
24/02/2000,6.9,278.6,5.6
25/02/2000,0,276.9,3.9
26/02/2000,0,281.9,8.9
27/02/2000,0,285.8,12.8
28/02/2000,3.3,283,10
29/02/2000,0,284.7,11.7
01/03/2000,0,280.8,7.8
02/03/2000,0,283,10
03/03/2000,0,284.1,11.1
04/03/2000,0,288.6,15.6
05/03/2000,0,285.2,12.2
06/03/2000,0.3,284.1,11.1
07/03/2000,0,281.3,8.3
08/03/2000,0,283,10
09/03/2000,2,279.7,6.7
10/03/2000,2.3,280.2,7.2
11/03/2000,0,283.6,10.6
12/03/2000,0.3,281.9,8.9
13/03/2000,0,285.8,12.8
14/03/2000,0,286.3,13.3
15/03/2000,0.8,280.8,7.8
16/03/2000,0,286.3,13.3
17/03/2000,2.3,280.2,7.2
18/03/2000,0,281.9,8.9
19/03/2000,3.8,284.7,11.7
20/03/2000,4.8,275.8,2.8
21/03/2000,0,281.3,8.3
22/03/2000,0,284.1,11.1
23/03/2000,0,287.4,14.4
24/03/2000,0,284.7,11.7
25/03/2000,0,289.1,16.1
26/03/2000,0,290.2,17.2
27/03/2000,0,294.7,21.7
28/03/2000,0.3,286.9,13.9
29/03/2000,0,284.1,11.1
30/03/2000,3.6,283,10
31/03/2000,0,285.2,12.2
01/04/2000,0,285.8,12.8
02/04/2000,0,288.6,15.6
03/04/2000,0,288.6,15.6
04/04/2000,0,298.6,25.6
05/04/2000,0,292.4,19.4
06/04/2000,0,292.4,19.4
07/04/2000,0,286.9,13.9
08/04/2000,0,292.4,19.4
09/04/2000,0,291.3,18.3
10/04/2000,0,289.7,16.7
11/04/2000,0,293,20
12/04/2000,0,297.4,24.4
13/04/2000,0,298.6,25.6
14/04/2000,14,285.8,12.8
15/04/2000,0.3,288.6,15.6
16/04/2000,0,290.8,17.8
17/04/2000,0,295.2,22.2
18/04/2000,0,286.9,13.9
19/04/2000,0,285.8,12.8
20/04/2000,0,292.4,19.4
21/04/2000,0,298,25
22/04/2000,0.5,293.6,20.6
23/04/2000,3.3,289.7,16.7
24/04/2000,0.5,286.3,13.3
25/04/2000,0,295.2,22.2
26/04/2000,0,295.2,22.2
27/04/2000,0,302.4,29.4
28/04/2000,0,301.9,28.9
29/04/2000,0.8,287.4,14.4
30/04/2000,0,291.3,18.3
01/05/2000,0,296.3,23.3
02/05/2000,0,298.6,25.6
03/05/2000,0,302.4,29.4
04/05/2000,0,301.9,28.9
05/05/2000,0,296.9,23.9
06/05/2000,0,294.1,21.1
07/05/2000,4.8,289.1,16.1
08/05/2000,3.3,288.6,15.6
09/05/2000,0,295.2,22.2
10/05/2000,5.1,291.3,18.3
11/05/2000,4.1,283.6,10.6
12/05/2000,0.5,285.8,12.8
13/05/2000,0,293.6,20.6
14/05/2000,0,298.6,25.6
15/05/2000,0,299.7,26.7
16/05/2000,0,293.6,20.6
17/05/2000,0.5,289.7,16.7
18/05/2000,9.7,292.4,19.4
19/05/2000,0,295.8,22.8
20/05/2000,0,297.4,24.4
21/05/2000,0,299.1,26.1
22/05/2000,0,304.1,31.1
23/05/2000,0,301.9,28.9
24/05/2000,0.8,298.6,25.6
25/05/2000,12.4,299.1,26.1
26/05/2000,0,295.8,22.8
27/05/2000,0,303,30
28/05/2000,0,303.6,30.6
29/05/2000,0,303,30
30/05/2000,0,300.8,27.8
31/05/2000,0,293.6,20.6
01/06/2000,0,296.3,23.3
02/06/2000,0,304.7,31.7
03/06/2000,0,304.1,31.1
04/06/2000,0,305.2,32.2
05/06/2000,0,309.7,36.7
06/06/2000,0,308,35
07/06/2000,0,310.2,37.2
08/06/2000,0,306.3,33.3
09/06/2000,1.3,295.2,22.2
10/06/2000,0,301.3,28.3
11/06/2000,0,301.3,28.3
12/06/2000,0,301.3,28.3
13/06/2000,0,296.3,23.3
14/06/2000,0,300.2,27.2
15/06/2000,0,301.9,28.9
16/06/2000,0,294.7,21.7
17/06/2000,0,298.6,25.6
18/06/2000,0.5,303,30
19/06/2000,0,298.6,25.6
20/06/2000,0,296.9,23.9
21/06/2000,0,302.4,29.4
22/06/2000,0,306.9,33.9
23/06/2000,0,305.8,32.8
24/06/2000,0,305.2,32.2
25/06/2000,0,303.6,30.6
26/06/2000,0,303.6,30.6
27/06/2000,0,303.6,30.6
28/06/2000,0,306.9,33.9
29/06/2000,0,305.8,32.8
30/06/2000,7.4,305.2,32.2
01/07/2000,0,307.4,34.4
02/07/2000,0,308,35
03/07/2000,0,307.4,34.4
04/07/2000,0,302.4,29.4
05/07/2000,0,307.4,34.4
06/07/2000,0,303,30
07/07/2000,0,307.4,34.4
08/07/2000,0,305.8,32.8
09/07/2000,4.8,305.2,32.2
10/07/2000,5.8,303.6,30.6
11/07/2000,0,305.8,32.8
12/07/2000,0,309.1,36.1
13/07/2000,0,310.2,37.2
14/07/2000,0,310.2,37.2
15/07/2000,0,308,35
16/07/2000,0,308,35
17/07/2000,0,308,35
18/07/2000,0,305.2,32.2
19/07/2000,0,306.3,33.3
20/07/2000,0,308,35
21/07/2000,0,309.1,36.1
22/07/2000,0,312.4,39.4
23/07/2000,0,309.7,36.7
24/07/2000,0,307.4,34.4
25/07/2000,0,308.6,35.6
26/07/2000,0,311.9,38.9
27/07/2000,0,310.2,37.2
28/07/2000,0,309.7,36.7
29/07/2000,0,310.2,37.2
30/07/2000,0,311.9,38.9
31/07/2000,0,311.9,38.9
01/08/2000,0,312.4,39.4
02/08/2000,0,309.1,36.1
03/08/2000,0,309.1,36.1
04/08/2000,3.6,306.9,33.9
05/08/2000,0,306.3,33.3
06/08/2000,0,308,35
07/08/2000,0,309.1,36.1
08/08/2000,0,308,35
09/08/2000,0,308,35
10/08/2000,0,309.7,36.7
11/08/2000,0,305.2,32.2
12/08/2000,0,307.4,34.4
13/08/2000,0,309.7,36.7
14/08/2000,0,308,35
15/08/2000,1.5,308,35
16/08/2000,0,306.3,33.3
17/08/2000,0,307.4,34.4
18/08/2000,7.9,305.8,32.8
19/08/2000,0,306.3,33.3
20/08/2000,0,302.4,29.4
21/08/2000,0,303,30
22/08/2000,0,306.3,33.3
23/08/2000,0,306.3,33.3
24/08/2000,0,305.2,32.2
25/08/2000,0,305.2,32.2
26/08/2000,0,302.4,29.4
27/08/2000,0,303.6,30.6
28/08/2000,0,305.2,32.2
29/08/2000,0,304.7,31.7
30/08/2000,33.3,297.4,24.4
31/08/2000,4.6,297.4,24.4
01/09/2000,1,296.3,23.3
02/09/2000,0,299.7,26.7
03/09/2000,0,300.2,27.2
04/09/2000,0,304.7,31.7
05/09/2000,0,298,25
06/09/2000,0,293,20
07/09/2000,0,297.4,24.4
08/09/2000,0,300.2,27.2
09/09/2000,0,294.7,21.7
10/09/2000,0,301.3,28.3
11/09/2000,0,299.7,26.7
12/09/2000,0,302.4,29.4
13/09/2000,0,303.6,30.6
14/09/2000,0,305.2,32.2
15/09/2000,0,309.1,36.1
16/09/2000,0,308,35
17/09/2000,0,301.9,28.9
18/09/2000,0,299.1,26.1
19/09/2000,0,298.6,25.6
20/09/2000,0,295.8,22.8
21/09/2000,6.6,295.8,22.8
22/09/2000,25.4,289.1,16.1
23/09/2000,14.2,281.3,8.3
24/09/2000,0,285.8,12.8
25/09/2000,0,290.2,17.2
26/09/2000,0,293.6,20.6
27/09/2000,0,295.8,22.8
28/09/2000,0,298,25
29/09/2000,0,297.4,24.4
30/09/2000,0,296.9,23.9
01/10/2000,0,300.2,27.2
02/10/2000,0,296.9,23.9
03/10/2000,0,292.4,19.4
04/10/2000,0,293.6,20.6
05/10/2000,0,290.2,17.2
06/10/2000,0,291.9,18.9
07/10/2000,0,293,20
08/10/2000,0,293.6,20.6
09/10/2000,0,298.6,25.6
10/10/2000,6.9,290.2,17.2
11/10/2000,9.7,285.8,12.8
12/10/2000,2.8,285.2,12.2
13/10/2000,3.8,282.4,9.4
14/10/2000,0.5,286.3,13.3
15/10/2000,0,288.6,15.6
16/10/2000,0,290.8,17.8
17/10/2000,0,291.3,18.3
18/10/2000,0,295.2,22.2
19/10/2000,0,293,20
20/10/2000,0,295.2,22.2
21/10/2000,3.6,290.8,17.8
22/10/2000,0,284.1,11.1
23/10/2000,0,288,15
24/10/2000,0,288,15
25/10/2000,0,289.7,16.7
26/10/2000,0,290.8,17.8
27/10/2000,15.5,285.2,12.2
28/10/2000,2.8,285.8,12.8
29/10/2000,0,286.9,13.9
30/10/2000,4.6,283.6,10.6
31/10/2000,0.8,281.9,8.9
01/11/2000,0.3,280.2,7.2
02/11/2000,0,280.2,7.2
03/11/2000,0,280.8,7.8
04/11/2000,0,283.6,10.6
05/11/2000,0.8,279.7,6.7
06/11/2000,0.5,276.9,3.9
07/11/2000,0,276.3,3.3
08/11/2000,4.1,277.4,4.4
09/11/2000,12.4,273,0
10/11/2000,1.8,273.6,0.6
11/11/2000,0.3,272.4,-0.6
12/11/2000,3,271.3,-1.7
13/11/2000,0,274.1,1.1
14/11/2000,0.5,277.4,4.4
15/11/2000,8.6,273.6,0.6
16/11/2000,0.3,271.3,-1.7
17/11/2000,0.3,271.3,-1.7
18/11/2000,0,274.1,1.1
19/11/2000,0,274.7,1.7
20/11/2000,0,274.7,1.7
21/11/2000,0,274.7,1.7
22/11/2000,0,275.2,2.2
23/11/2000,0,277.4,4.4
24/11/2000,0,275.2,2.2
25/11/2000,0,276.3,3.3
26/11/2000,0,279.1,6.1
27/11/2000,0,280.2,7.2
28/11/2000,0,279.1,6.1
29/11/2000,0.5,288.6,15.6
30/11/2000,0,280.2,7.2
01/12/2000,0,278.6,5.6
02/12/2000,0,278.6,5.6
03/12/2000,0,280.2,7.2
04/12/2000,0,279.7,6.7
05/12/2000,0,279.1,6.1
06/12/2000,0,280.8,7.8
07/12/2000,0,279.7,6.7
08/12/2000,0,279.7,6.7
09/12/2000,0,281.9,8.9
10/12/2000,8.1,280.2,7.2
11/12/2000,0,273,0
12/12/2000,2.8,272.4,-0.6
13/12/2000,3.8,275.2,2.2
14/12/2000,0.3,280.2,7.2
15/12/2000,6.6,278,5
16/12/2000,0,276.3,3.3
17/12/2000,0,276.9,3.9
18/12/2000,0,274.7,1.7
19/12/2000,0,273,0
20/12/2000,0,276.9,3.9
21/12/2000,0,281.3,8.3
22/12/2000,0,279.1,6.1
23/12/2000,0,280.8,7.8
24/12/2000,9.7,274.7,1.7
25/12/2000,0,274.1,1.1
26/12/2000,0,272.4,-0.6
27/12/2000,0,275.2,2.2
28/12/2000,0,272.4,-0.6
29/12/2000,0,270.8,-2.2
30/12/2000,0,270.8,-2.2
31/12/2000,0.3,269.7,-3.3
01/01/2001,0,269.1,-3.9
02/01/2001,0.5,270.8,-2.2
03/01/2001,0,269.7,-3.3
04/01/2001,0,269.7,-3.3
05/01/2001,0,269.1,-3.9
06/01/2001,0.3,269.1,-3.9
07/01/2001,0,269.1,-3.9
08/01/2001,0,268.6,-4.4
09/01/2001,0,274.7,1.7
10/01/2001,1,274.1,1.1
11/01/2001,2.5,280.8,7.8
12/01/2001,0.3,275.2,2.2
13/01/2001,0.8,276.3,3.3
14/01/2001,1,274.7,1.7
15/01/2001,0.5,273,0
16/01/2001,0,273.6,0.6
17/01/2001,0,270.2,-2.8
18/01/2001,0,272.4,-0.6
19/01/2001,2,274.1,1.1
20/01/2001,0.3,275.2,2.2
21/01/2001,0,276.3,3.3
22/01/2001,0,275.2,2.2
23/01/2001,0,276.9,3.9
24/01/2001,0,282.4,9.4
25/01/2001,6.1,276.3,3.3
26/01/2001,0,278,5
27/01/2001,0,276.9,3.9
28/01/2001,0,275.2,2.2
29/01/2001,3.6,275.2,2.2
30/01/2001,1,271.9,-1.1
31/01/2001,0,273,0
01/02/2001,0,276.3,3.3
02/02/2001,0,279.7,6.7
03/02/2001,0,279.7,6.7
04/02/2001,0,284.7,11.7
05/02/2001,0,284.1,11.1
06/02/2001,7.9,277.4,4.4
07/02/2001,5.1,273,0
08/02/2001,0,268.6,-4.4
09/02/2001,0,270.8,-2.2
10/02/2001,0,277.4,4.4
11/02/2001,1.8,276.9,3.9
12/02/2001,0.3,278,5
13/02/2001,0.8,274.1,1.1
14/02/2001,1.3,271.9,-1.1
15/02/2001,0,275.8,2.8
16/02/2001,0,279.1,6.1
17/02/2001,0,280.2,7.2
18/02/2001,1,285.8,12.8
19/02/2001,3.3,285.8,12.8
20/02/2001,0,282.4,9.4
21/02/2001,0,283.6,10.6
22/02/2001,0,286.9,13.9
23/02/2001,16,279.1,6.1
24/02/2001,0,276.9,3.9
25/02/2001,0.5,280.8,7.8
26/02/2001,0,280.2,7.2
27/02/2001,0,278,5
28/02/2001,0.3,276.9,3.9
01/03/2001,0,279.7,6.7
02/03/2001,1.5,283,10
03/03/2001,5.3,278.6,5.6
04/03/2001,0,286.3,13.3
05/03/2001,0,288,15
06/03/2001,0,288.6,15.6
07/03/2001,0,287.4,14.4
08/03/2001,0,286.9,13.9
09/03/2001,3.3,286.9,13.9
10/03/2001,0,282.4,9.4
11/03/2001,6.6,279.1,6.1
12/03/2001,0,281.3,8.3
13/03/2001,0,285.2,12.2
14/03/2001,0,283,10
15/03/2001,0,282.4,9.4
16/03/2001,10.2,280.8,7.8
17/03/2001,0,281.3,8.3
18/03/2001,0,285.2,12.2
19/03/2001,0,291.3,18.3
20/03/2001,0,290.2,17.2
21/03/2001,0,290.2,17.2
22/03/2001,0,290.8,17.8
23/03/2001,0,289.7,16.7
24/03/2001,0,291.3,18.3
25/03/2001,0,293,20
26/03/2001,0,287.4,14.4
27/03/2001,0,282.4,9.4
28/03/2001,2.8,286.9,13.9
29/03/2001,9.7,284.7,11.7
30/03/2001,0,287.4,14.4
31/03/2001,0,287.4,14.4
01/04/2001,0,288,15
02/04/2001,10.2,286.9,13.9
03/04/2001,0,279.7,6.7
04/04/2001,1.8,283,10
05/04/2001,4.1,283.6,10.6
06/04/2001,5.1,283,10
07/04/2001,6.6,284.1,11.1
08/04/2001,14.2,277.4,4.4
09/04/2001,0,281.3,8.3
10/04/2001,0,282.4,9.4
11/04/2001,0,284.1,11.1
12/04/2001,11.2,279.7,6.7
13/04/2001,0,285.8,12.8
14/04/2001,0.8,284.1,11.1
15/04/2001,0,289.1,16.1
16/04/2001,0,292.4,19.4
17/04/2001,0,298.6,25.6
18/04/2001,0,299.1,26.1
19/04/2001,0,291.9,18.9
20/04/2001,7.6,288,15
21/04/2001,0.8,284.1,11.1
22/04/2001,0.3,286.3,13.3
23/04/2001,0,289.1,16.1
24/04/2001,0,291.3,18.3
